"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.8413966542852","71.92072618237","71.6706919815835","71.4350928035763","71.1409621465459","70.6746465021589","70.4236627474744","70.2218524436163","69.9247427576994","69.7691134821321","69.58802357242","69.3797981504337","69.2404582773284","68.8667745489334","68.54237267628","67.6939198362008","66.9052324476631","66.3569886769144","65.800432868674","65.2075085858488","64.222628088287","63.2292949416758","63.0176017737363","62.4133203901272","61.7401682132918","61.162864955364","60.4934400235202","59.7728299724055","58.923767874551","59.2236495962651","59.0473456725843","58.0320847405066",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.1307385229541","85.8988195166147","85.8385636125925","85.6429876815335","85.50141110684","85.3274045587469","85.4493037764568","85.5950730673637","85.8091533397721","86.0410955473686","86.2878650000364","84.6926719547003","83.9458423536046","83.6247943236274","82.6259293549926","81.8760340959295","80.6586857582515","79.891829870816","77.4891330389842","75.0429283326996","73.2528494231241","70.1667867425878","67.5583043642297","64.9253041607851","65.5625920862001","66.1778235504342","66.5834959935691","63.1374945194362","58.8156025986005","53.8164684107322","53.1999677701088","47.4494301123473",
"Africa Western and Central","AFW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7750853480605","58.433302577471","58.1858901107642","57.8837230611718","57.6346639899363","57.2136050638053","56.647360016298","56.002617616242","55.4395811462132","55.047589775705","54.4221574947186","53.9013223694324","53.2871901161784","52.4601487676103","51.6127820317049","50.7910431434208","49.6307483391987","48.5728959844489","47.4494406958564","46.3232403088306","45.6006602760319","44.4182662024457","43.2263230927507","41.6503345743543","40.4882524945052","40.9421311322762","41.210156175675","41.0234153833017","41.0963113894458","41.1261694254521","41.0511123751786","40.1610119700978",
"Angola","AGO","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1858191113897","50.0159589785686","50.1437168860418","49.7856238740398","49.1417868736115","48.4461355326928","47.9681126637524","47.6120540617986","46.9502333097166","46.4077609420196","46.0983364258042","44.8528762098111","44.8119689804649","44.289331027026","46.1301036101211","48.0448349400568","49.8011927608679","51.6797580608293","53.5374687042465","56.6509870306406","60.3348212495726","63.4133258171462","66.7155217629903","69.5246077432689","67.8210113068284","66.0414020830609","64.0822432633882","61.8700529293282","59.5780069097393","60.4989652314619","61.2708418916079","60.4798201563824",
"Albania","ALB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.188135084969","63.2910666788957","63.1712534740792","63.0186446687409","62.9168618573034","63.4131068038861","62.8839990500876","62.6419244045416","62.4149786979595","61.7625624690493","61.2281447836838","60.3824993450354","60.1689617486339","59.6357965251075","59.0392275249526","58.3647653017803","57.484805265549","56.789435017747","57.1437521536196","53.0607949450458","54.1969899100692","56.8966131554465","53.1183062109353","49.8384189563995","47.6338436786494","45.1764929149798","42.391176271743","42.2478893339964","41.576031374781","41.1398485619461","40.8522571995062","39.8145824545667",
"Andorra","AND","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8925518323465","44.9232900990428","43.0173173224635","43.2352448135753","42.3858712941402","41.4106811619013","41.209493669042","39.3738422829863","38.0980641673222","40.2019892690376","37.025303706684","35.3578105639898","36.5914143144871","37.5819714854105","36.7765741051514","35.0882825000259","35.2576791943803","33.7823506931389","33.2374214353503","31.7526062672933","30.6622727141781","28.6039990310331","29.4352061055287","29.2542752104138","27.3359099047844","26.4140669394267","26.1130440989198","21.631022083014","21.103497923534","20.0267529957093","19.4628164511083","18.6711783245847",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0661082182476794","0.0651329798338274","0.0637495487607241","0.0624345155225123","0.060461929138619","0.0607846177701969","0.0606473243659208","0.0594981097503186","0.0595056675519949","0.0599882689607366","0.0651460425840714","0.0705608050067493","0.0779654591557557","0.0867239044435994","0.0936939372342778","0.113432346463105","0.133889082771987","0.159707088074352","0.136409372532584","0.120042207010864","0.108553217177375","0.0949126564073606","0.0823835185273499","0.0703012766304292","0.0599602991771337","0.0513085738679276","0.0430553613481559","0.0371217973946718","0.0546211247866223","0.0467643159803834","0.0356101995108283","0.0346772329181026",
"Argentina","ARG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.45361504543166","7.39403383710715","7.28714737272043","7.18317606214569","6.90145204717403","6.81445456850464","6.6485208197247","6.51950812855675","6.33457253426845","6.16351191235966","6.04546722076315","5.91563020281344","5.58494707160519","5.34935146385331","5.07416547344349","4.80654749708148","4.59001300114495","4.37872150130877","4.26080551543595","4.04376265505554","3.90879516289977","3.77152603466911","3.66048905467864","3.57680483290691","3.47581100041452","3.37631165285543","3.27098141013241","3.18895604719585","3.15091321689503","3.40347846021801","3.36149301955729","3.27922467818663",
